periode_data,periode_pemantauan,bulan_sampling,titik_sampel,nama_sungai,alamat,latitude,longitude,jenis_parameter,parameter,baku_mutu,hasil_pengukuran
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,COD,25,168
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,DO,4,0.75
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Nitrat,10,0.6
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Nitrit,0.06,0.04
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,"Total P",0.2,1.65
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,F,1.5,0.11
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,H2S,0.002,0.099
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,"Klorin Bebas n  In Situ",0.03,0.005
2024,"Periode 1",2,"GRL 6",Grogol,"PLTU Pluit",-6.125217451,106.7839526,Kimia,Hg,0.002,0.0001
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Cd,0.01,0.004
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Zn,0.05,0.01
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Cu,0.02,0.009
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Pb,0.03,0.009
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Cr6,0.05,0.052
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,"Minyak dan Lemak",1,0.53
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,MBAS,0.2,0.36
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Fenol,0.005,0.008
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Biologi,"Total Coliform",5000,9000000
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Biologi,"Fecal Coliform",1000,2200000
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Fisika,Warna,50,64
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Sulfat,300,34.9
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Klorida,300,57.62
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Amoniak,0.2,7.8
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,"Total N",15,15.93
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Ni,0.05,0.02
2024,"Periode 4",10,"MKV 4",Mookervart,"Sumur Bor  Jembatan Pelangi",-6.153444,106.719528,Kimia,Sianida,0.02,0.022
2024,"Periode 4",10,"MKV 5",Mookervart,"Jl. Daan Mogot Pemancar Rawa Buaya",-6.155362,106.730964,Fisika,TDS,1000,320.6
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,DO,4,0.42
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Nitrat,10,0.7
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Nitrit,0.06,0.04
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,"Total P",0.2,1.9
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,F,1.5,0.11
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,H2S,0.002,0.061
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,"Klorin Bebas n  In Situ",0.03,0.02
2024,"Periode 1",2,"GRL 1",Grogol,"Jl.  H  Ipin",-6.311207148,106.7884357,Kimia,Hg,0.002,0.0001
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Cd,0.01,0.004
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Zn,0.05,0.01
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Cu,0.02,0.009
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Pb,0.03,0.01
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Cr6,0.05,0.013
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,"Minyak dan Lemak",1,0.53
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,MBAS,0.2,0.12
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Fenol,0.005,0.004
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Biologi,"Total Coliform",5000,9000000
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Biologi,"Fecal Coliform",1000,3000000
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Fisika,Warna,50,50
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Sulfat,300,13.2
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Klorida,300,59.09
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Amoniak,0.2,17.45
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,"Total N",15,28.59
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Ni,0.05,0.02
2024,"Periode 4",10,"SKR 2",Sekertaris,"Jl.  Arjuna Utara",-6.185175,106.782569,Kimia,Sianida,0.02,0.018
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Fisika,TDS,1000,372.7
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Fisika,TSS,50,40
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Kimia,pH,6.9,7.575
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Kimia,BOD,3,39.25
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Kimia,COD,25,182
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Kimia,DO,4,0.23
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Kimia,Nitrat,10,0.7
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Kimia,Nitrit,0.06,0.04
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Kimia,"Total P",0.2,1.75
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Kimia,F,1.5,0.11
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Kimia,H2S,0.002,0.1
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Kimia,"Klorin Bebas n  In Situ",0.03,0.01
2024,"Periode 1",2,"GRL 2",Grogol,"Jl.  Radio Dalam  PIM",-6.262806,106.785194,Kimia,Hg,0.002,0.0001
2024,"Periode 4",10,"SKR 3",Sekertaris,"Jl.  Daan Mogot II  Samping Mall Ciputra",-6.167333,106.785444,Kimia,Cd,0.01,0.004
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,"Klorin Bebas n  In Situ",0.03,0
2024,"Periode 1",2,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,Hg,0.002,0.0001
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,Cd,0.01,0.004
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,Zn,0.05,0.03
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,Cu,0.02,0.009
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,Pb,0.03,0.009
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,Cr6,0.05,0.059
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,"Minyak dan Lemak",1,0.53
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,MBAS,0.2,0.17
2024,"Periode 1",2,"JTK 2","Jati Kramat","Jl.  Taman Malaka Selatan",-6.230652551,106.9261831,Kimia,Hg,0.002,0.0001
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Biologi,"Total Coliform",5000,3500000
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Biologi,"Fecal Coliform",1000,1400000
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Fisika,Warna,50,38
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,Sulfat,300,27.2
2024,"Periode 4",10,"GRL 6",Grogol,"PLTU Pluit",-6.125217,106.783953,Kimia,Klorida,300,1611.96
